Tweet,sentiment_class
The first female referee at a Men’s World Cup is from Philly. Tough 🔥,negative
"North Korea will host the World Cup in 2030. Winning against North Korea is not allowed. The Great Leader will be the referee in every game. Wearing the 'love' bracelet will be a capital crime. 
#WorldCup2022 #NorthKorea
#Bracelet #FIFAWorldCup   
#FIFAWorldCup2022 #onelove",negative
"If you're wondering why there has been so much stoppage time at the World Cup, check out the latest episode of Gab and Jules Meets with @Marcotti and @LaurensJulien, where they interviewed former referee and Chairman of the FIFA Referees Committee, Pierluigi Collina (34:54)",neutral
"NFL referee: “We will scrutinize every angle of tape to determine whether the player’s left pinky fingernail broke the plane of the end zone.”

World Cup referee: “Did anyone keep track of how much stoppage time we should add? I dunno, does 5 minutes sound good?”",negative
"Possibly imagining it, but feel like there are fewer caustic player/referee interactions at the World Cup compared to e.g. EPL.  Is this just because they don't know the refs as well? Or because stakes are lower (!) in some sense?",positive
"I’d love it if one of the footballers at the World Cup actually did wear a ‘one love’ armband, and when the referee put his hand in his pocket to get a yellow card, he just pulled out a handful of glitter and flamboyantly threw it in a big arch over himself while pirouetting.",positive
"Fox Sports spent $500M to have US broadcasting rights for the 2022 FIFA World Cup

For a country that barely enjoys the sport, the first game to ending in a draw, and ample criticism of favoritism by the referee it’s a critical hit for viewership, and ad sales $FOX

@JPMorinChase",negative
World Cup matches are set to last up to 100 MINUTES to cut down on time wasting... with referee chief Pierluigi Collina insisting that only having the ball in play for less than 45 minutes is 'unacceptable'.,positive
"They always experiment with these changes in the World Cup before rolling them out in the leagues.  

First it was the referee white spray, then came the VAR, which was followed by the 5 substitutions. Now we have a standard 10 minute injury added time. 

It's a pattern.",negative
"Full-time: 

#USMNT 1
#WAL 1

A tale of two halfs were the USMNT was more dominant in the first and Wales dominated in the second. Also this referee crew put on the most Concacfiest referring performance in the history of the World Cup it was bad! 

#FIFAWorldCup #Qatar2022",negative
